Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Madagascar,16020,219,14630.0,1171.0,57.85269223931412,1.3670411985018727
Malawi,5718,179,4030.0,1509.0,29.890295089559803,3.130465197621546
Malaysia,10167,130,9315.0,722.0,31.41259540336127,1.2786466017507623
Maldives,9649,33,8188.0,1428.0,1785.0601803375132,0.34200435278267177
Mali,3006,128,2349.0,529.0,14.843833098429425,4.258150365934797
Malta,2699,19,2017.0,663.0,611.2710315510068,0.7039644312708411
Mauritania,7365,161,6927.0,277.0,158.39867861305987,2.1860149355057703
Mauritius,366,10,338.0,18.0,28.77885650437541,2.73224043715847
Mexico,694121,73258,586154.0,34709.0,563.1322325513246,10.554067662554512
Moldova,46336,1201,34236.0,10899.0,1148.647124428261,2.5919371546961325
Monaco,192,1,152.0,39.0,489.24676383651,0.5208333333333333
Mongolia,312,0,302.0,10.0,9.517151004242454,0.0
Montenegro,7898,134,5129.0,2635.0,1257.5191621209372,1.6966320587490504
Morocco,99816,1795,79008.0,19013.0,270.4266892957836,1.7983088883545724
Mozambique,6537,41,3620.0,2876.0,20.914762504505216,0.6271990209576258
Namibia,10292,111,7969.0,2212.0,405.05077696389816,1.0785075787019043
Nepal,62797,401,45267.0,17129.0,215.5246381140996,0.6385655365702183
Netherlands,96261,6320,2721.0,87220.0,,6.565483425270878
New Zealand,1815,25,1719.0,71.0,37.63816472576087,1.3774104683195594
Nicaragua,4961,147,2913.0,1901.0,74.88806038866919,2.9631122757508566
Niger,1183,69,1104.0,10.0,4.887089639386488,5.832628909551986
Nigeria,57145,1095,48431.0,7619.0,27.72150698060727,1.9161781433196257
North Macedonia,16557,689,13792.0,2076.0,794.7181983123578,4.161381892854986
Norway,12858,267,10371.0,2220.0,237.178122651599,2.0765282314512366
Oman,91753,818,84648.0,6287.0,1796.7454806719586,0.8915239828670452
Pakistan,305671,6416,292303.0,6952.0,258.9240568181661,2.098988782056525
Panama,105601,2247,80190.0,23164.0,2447.431704323384,2.1278207592731126
Papua New Guinea,516,6,232.0,278.0,5.767278896107054,1.1627906976744187
Paraguay,33015,636,17535.0,14844.0,462.8792307918789,1.926397092230804
Peru,756412,31283,594513.0,130616.0,,4.135709110907812
Philippines,283460,4930,209885.0,68645.0,258.67602971808503,1.7392224652508292
Poland,78330,2282,63861.0,12187.0,206.9670449965063,2.9133154602323503
Portugal,68025,1899,45404.0,20722.0,667.127142125394,2.7916207276736493
Qatar,123146,209,120089.0,2848.0,4274.329587026997,0.16971724619557274
Romania,111550,4402,89119.0,18029.0,579.851564237313,3.9462124607799196
Russia,1092915,19270,903545.0,170100.0,764.7223539282892,1.7631746293170099
Rwanda,4689,26,2910.0,1753.0,36.20231884769617,0.5544892301130305
Saint Kitts and Nevis,17,0,17.0,0.0,31.959693186945405,0.0
Saint Lucia,27,0,26.0,1.0,14.70355989522352,0.0
Saint Vincent and the Grenadines,64,0,64.0,0.0,57.68520104193895,0.0
San Marino,723,42,669.0,12.0,2130.355353880606,5.809128630705394
Sao Tome and Principe,908,15,876.0,17.0,414.30729007442017,1.6519823788546255
Saudi Arabia,329271,4458,309430.0,15383.0,945.8041532703046,1.353899979044617
Senegal,14688,302,11153.0,3233.0,87.72134140551232,2.0561002178649237
Serbia,32840,740,0.0,32100.0,375.8568081699642,2.253349573690621
Seychelles,141,0,136.0,5.0,143.38010982306284,0.0
Sierra Leone,2159,72,1650.0,437.0,27.065363668102677,3.33487725798981
Singapore,57558,27,57142.0,389.0,983.8397509342616,0.04690920462837486
Slovakia,6546,39,3519.0,2988.0,119.89794937141492,0.5957836846929423
Slovenia,4309,141,2981.0,1187.0,207.2698866533393,3.2722209329310745
Somalia,3401,98,2812.0,491.0,21.399063336382643,2.881505439576595
South Africa,659656,15940,589434.0,54282.0,1112.2417305120043,2.4164109778429967
South Sudan,2642,49,1290.0,1303.0,23.602501007483745,1.854655563966692
Spain,640040,30495,150376.0,459169.0,,4.764545965877132
Sri Lanka,3283,13,3070.0,200.0,15.331628781245255,0.39597928723728293
Sudan,13535,836,6759.0,5940.0,30.86710521901745,6.176579239009975
Suriname,4709,97,4383.0,229.0,802.7151511845544,2.0598853259715435
Sweden,88237,5865,0.0,82372.0,786.4983180937353,6.646871493817787
Switzerland,49283,2045,40500.0,6738.0,569.4416553104942,4.149503885721242
Syria,3765,170,932.0,2663.0,21.51347803685313,4.51527224435591
Taiwan*,506,7,479.0,20.0,2.12455296739378,1.383399209486166
Tajikistan,9303,73,8066.0,1164.0,97.53983217235456,0.7846931097495432
Tanzania,509,21,183.0,305.0,0.852107987092757,4.12573673870334
Thailand,3506,59,3340.0,107.0,5.022924219259783,1.6828294352538506
Timor-Leste,27,0,26.0,1.0,2.0478716545741107,0.0
Togo,1659,41,1259.0,359.0,20.039288601630894,2.471368294153104
Trinidad and Tobago,3853,61,1695.0,2097.0,275.31438215751297,1.5831819361536463
Tunisia,9110,138,2366.0,6606.0,77.08177047434819,1.5148188803512623
Turkey,301348,7445,266117.0,27786.0,357.30535174167863,2.470565591940215
US,6764970,199259,2577466.0,3988245.0,,2.945452825363601
Uganda,6017,63,2581.0,3373.0,13.154500338864477,1.047033405351504
Ukraine,177048,3585,79671.0,93792.0,427.84082341035645,2.0248746102751793
United Arab Emirates,84242,404,73512.0,10326.0,851.755237401925,0.47957076042828994
United Kingdom,392845,41848,2227.0,348770.0,,10.652547442375491
Uruguay,1904,46,1612.0,246.0,54.81144603476324,2.415966386554622
Uzbekistan,50992,427,47271.0,3294.0,152.35500556795515,0.8373862566677126
Venezuela,65949,539,55155.0,10255.0,231.9212695003644,0.8172982152875707
Vietnam,1068,35,942.0,91.0,1.0972010965066137,3.2771535580524342
West Bank and Gaza,35003,253,23446.0,11304.0,686.1428277952631,0.7227951889838014
Western Sahara,10,1,8.0,1.0,1.674116485025028,10.0
Yemen,2026,585,1221.0,220.0,6.79273846200063,28.8746298124383
Zambia,14070,330,13365.0,375.0,76.53412573441756,2.345415778251599
Zimbabwe,7672,225,5914.0,1533.0,51.6183656153327,2.93274244004171
